model_type,data_profile,median_mse,std_dev_mse,cv_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,reservoir_size,spectral_radius,sparsity
Classical_ESN,ARMA_1_2_stochastic,0.011027431154150131,0.0013075919672719887,0.1185762984137862,0.3,1e-08,10,,,2025,50.0,1.1,0.2
Classical_ESN,ARMA_1_2_stochastic,0.00910567506840639,0.0008939081216142715,0.09817043930282886,0.5,1e-08,10,,,2025,50.0,1.1,0.2
Classical_ESN,ARMA_1_2_stochastic,0.008402636821065066,0.0005156981951808793,0.061373376734318086,0.7,1e-08,10,,,2025,50.0,1.1,0.2
Classical_ESN,ARMA_1_2_stochastic,0.00800018866939196,0.0003690048928697077,0.04612452382298044,0.9,1e-08,10,,,2025,50.0,1.1,0.2
Classical_ESN,ARMA_1_2_stochastic,0.018993211640970675,0.01723772752413671,0.9075730766329603,0.1,1e-08,10,,,2025,50.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,0.009646106618566276,0.0012652614509603272,0.13116809724298756,0.3,1e-08,10,,,2025,50.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,0.008643196317702438,0.0016834442043409568,0.1947710247993598,0.5,1e-08,10,,,2025,50.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,0.008169121586678504,0.0005129721104715618,0.06279403544538648,0.7,1e-08,10,,,2025,50.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,0.00851373017587989,0.0014101919391756898,0.16563737751178462,0.9,1e-08,10,,,2025,50.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,0.02173603745918971,0.35792359367324206,16.466828157858032,0.1,1e-08,10,,,2025,50.0,1.25,0.2
Classical_ESN,ARMA_1_2_stochastic,0.010154539160558878,0.0022126790472896426,0.21790048886549993,0.3,1e-08,10,,,2025,50.0,1.25,0.2
Classical_ESN,ARMA_1_2_stochastic,0.008588592196961632,0.0013120117012745795,0.15276213740113626,0.5,1e-08,10,,,2025,50.0,1.25,0.2
Classical_ESN,ARMA_1_2_stochastic,0.008204973925275371,0.0010691654347099264,0.13030698749893269,0.7,1e-08,10,,,2025,50.0,1.25,0.2
Classical_ESN,ARMA_1_2_stochastic,0.008369968951597171,0.0018792999800244248,0.22452890696396355,0.9,1e-08,10,,,2025,50.0,1.25,0.2
Classical_ESN,ARMA_1_2_stochastic,0.2858931006895355,0.2540868986614375,0.8887479202842401,0.1,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,ARMA_1_2_stochastic,0.05958764605315604,0.07018746340657872,1.1778861568716266,0.3,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,ARMA_1_2_stochastic,0.062107733722215126,0.16576335338437242,2.668964772177495,0.5,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,ARMA_1_2_stochastic,0.044100821647282615,0.02350208121593814,0.5329170826772177,0.7,1e-08,10,,,2025,100.0,0.9,0.1
