data_profile,window_size,median_mse,best_interior_alpha,best_interior_mse,mse_ratio
Mackey_Glass_(tau=17),2,4.1850817348457234e-05,0.9,6.280433152777595e-05,0.6663683273174912
Mackey_Glass_(tau=17),4,1.558511801459134e-05,0.9,1.3121248961673007e-05,1.1877770218456536
Mackey_Glass_(tau=17),6,4.88403657688283e-06,0.9,8.25559080491452e-06,0.5916035196385196
Mackey_Glass_(tau=17),8,5.653416750012099e-06,0.9,8.774849566591311e-06,0.644275062165907
Mackey_Glass_(tau=17),10,2.728478966293918e-06,0.9,5.861498828772112e-06,0.46549168497667165
Mackey_Glass_(tau=30),2,2.727568482077987e-05,0.9,4.779947005796681e-05,0.5706273477028599
Mackey_Glass_(tau=30),4,1.1133264006008988e-05,0.9,1.6609047603860567e-05,0.6703132094956004
Mackey_Glass_(tau=30),6,4.7005519284013475e-06,0.9,1.4946176643943226e-05,0.3144986199735699
Mackey_Glass_(tau=30),8,5.911451031268315e-06,0.9,1.5125215498087028e-05,0.3908341690745477
Mackey_Glass_(tau=30),10,3.4159816550690552e-06,0.9,1.2966660722150856e-05,0.26344343607553156
Mackey_Glass_(tau=100),2,3.832507989827636e-05,0.9,6.719044742387055e-05,0.5703947713951482
Mackey_Glass_(tau=100),4,1.0211020457780882e-05,0.9,2.2773635663365285e-05,0.448370238670622
Mackey_Glass_(tau=100),6,5.503076578309977e-06,0.9,2.3129695868912973e-05,0.2379225654110862
Mackey_Glass_(tau=100),8,6.590285181876707e-06,0.9,2.3882010762611284e-05,0.27595185545239737
Mackey_Glass_(tau=100),10,5.298922422081292e-06,0.9,2.445941951030798e-05,0.21664138103719743
ARMA_1_2_stochastic,2,0.010018239293475274,0.9,0.0101914650452876,0.9830028606247907
ARMA_1_2_stochastic,4,0.008925036514716959,0.9,0.0089407278314343,0.9982449620418851
ARMA_1_2_stochastic,6,0.008806175850924785,0.9,0.0087257850789273,1.0092130130722137
ARMA_1_2_stochastic,8,0.008910014794150387,0.9,0.0092056813437784,0.9678821655251149
ARMA_1_2_stochastic,10,0.009020046544565423,0.9,0.0090367968396557,0.9981464344736872
NARMA10_Chaotic,2,0.010792024918364654,0.7,0.0107822862889025,1.0009032063517158
NARMA10_Chaotic,4,0.010749770002150957,0.3,0.0104806625056016,1.025676573060675
NARMA10_Chaotic,6,0.0106952430308427,0.3,0.0104832379405602,1.0202232450970363
NARMA10_Chaotic,8,0.010470613138031312,0.5,0.0100502224212919,1.0418289963263692
NARMA10_Chaotic,10,0.008608390541525436,0.9,0.0087976579649302,0.9784866126690496
NARMA5_Chaotic,2,0.016731305475210692,0.3,0.016332270830621,1.0244322818748237
NARMA5_Chaotic,4,0.01585679250675195,0.5,0.0150761827615728,1.0517776785758277
NARMA5_Chaotic,6,0.013007467707746629,0.5,0.0128826470194605,1.0096890559911775
NARMA5_Chaotic,8,0.013100924967806323,0.3,0.0126269501021112,1.0375367655579693
NARMA5_Chaotic,10,0.012530143045098143,0.9,0.0125654221413501,0.9971923668098773
