model_type,data_profile,median_mse,std_dev_mse,cv_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,reservoir_size,spectral_radius,sparsity
QRC,NARMA5_Chaotic,0.012703331721412752,7.17016825506438e-05,0.0056443210429420925,0.3,1e-08,8,3.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012626950102110745,8.96955279794469e-05,0.007103499044037026,0.3,1e-08,8,4.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012818811247998696,0.00017023057774718506,0.013279747587652628,0.3,1e-08,10,2.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.01283029997025129,0.00017058001496406618,0.0132950917250242,0.3,1e-08,10,3.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.0127955942352433,0.00012970524317930873,0.010136711183139708,0.3,1e-08,10,4.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.015079197579679534,6.463946079955032e-05,0.004286664489803976,0.5,1e-08,4,2.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.01511151184630938,7.494931211970338e-05,0.004959749420307534,0.5,1e-08,4,3.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.015076182761572,8.80785777665242e-05,0.005842233353062656,0.5,1e-08,4,4.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012877331553411987,8.032728046729287e-05,0.006237882447470982,0.5,1e-08,6,2.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012920816582633353,7.719361025032441e-05,0.005974360038055104,0.5,1e-08,6,3.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.01288264701946143,0.00010396206175265014,0.008069930162302652,0.5,1e-08,6,4.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012749768152302558,0.0001321030806092954,0.010361214339841787,0.5,1e-08,8,2.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012747193876429246,7.584769605246451e-05,0.005950148463083628,0.5,1e-08,8,3.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012727007581833476,7.219431410930266e-05,0.005672528569272858,0.5,1e-08,8,4.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012628148297060653,0.00010912381887291921,0.008641315916310474,0.5,1e-08,10,2.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.01267000986896251,0.00010900038405786577,0.008603022822017053,0.5,1e-08,10,3.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012601455777286441,0.00012971664117312107,0.01029378219990499,0.5,1e-08,10,4.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.015091011066647954,4.6187154871937205e-05,0.0030605739183382887,0.7,1e-08,4,2.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.015144064827234984,6.699459944679936e-05,0.004423818849897996,0.7,1e-08,4,3.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.015087896372444136,9.029192119605591e-05,0.0059843943096640735,0.7,1e-08,4,4.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012958216697523795,8.64502868048809e-05,0.006671464818257038,0.7,1e-08,6,2.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.01301770134632978,0.00010480114912746362,0.008050664732526787,0.7,1e-08,6,3.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012991062013640284,0.000122511227375833,0.009430424336917131,0.7,1e-08,6,4.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.01286063791071343,0.00012327653754869015,0.00958556942544785,0.7,1e-08,8,2.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012868989757594124,9.186982051754721e-05,0.007138852563258424,0.7,1e-08,8,3.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012857883647815765,8.238175634565471e-05,0.00640710077973441,0.7,1e-08,8,4.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012578396735080362,0.00012206639141971223,0.00970444755326223,0.7,1e-08,10,2.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.01257431877792672,0.00012629501870174782,0.010043885552150094,0.7,1e-08,10,3.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.01259889582483283,0.00015058901790661563,0.011952556795477253,0.7,1e-08,10,4.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.015557522212538914,6.63536368693024e-05,0.004265051719856989,0.9,1e-08,4,2.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.015534864439107163,6.58253971964587e-05,0.00423726885126536,0.9,1e-08,4,3.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.015515804769850856,7.363582103460151e-05,0.004745858956519296,0.9,1e-08,4,4.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012964984039439673,8.030462258419384e-05,0.006193962317262096,0.9,1e-08,6,2.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.013037037234536607,0.0001313401222496574,0.0100743842244864,0.9,1e-08,6,3.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.013020460683536402,0.00014150134411695714,0.010867614253916313,0.9,1e-08,6,4.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.01304884829604783,0.00011848823885449596,0.009080359903516013,0.9,1e-08,8,2.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012979351863366078,0.00011282299451263212,0.008692498338924952,0.9,1e-08,8,3.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.01298370106919885,0.00010639622179906942,0.008194598846046485,0.9,1e-08,8,4.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012532184627451022,0.0001545109218706568,0.012329129075565135,0.9,1e-08,10,2.0,0.0,2025,,,
QRC,NARMA5_Chaotic,0.012586104242288258,0.00015288962311850004,0.012147493789603593,0.9,1e-08,10,3.0,0.0,2025,,,
